<Function 1, scan #0, time 0.0034000000450760126>
00-18-C7-37-88-4E	7E-49-05-EA-38-6E
raw_mcr	raw_count	mcr_multiplier	count_gain
51200	0	1	1
51809	0	1	1
51845	11264	1	16
51881	9984	1	16
51916	25874	1	16
51952	21614	1	16
51988	21047	1	16
52024	0	1	1
52060	15310	1	64
52096	17664	1	64
52132	14793	1	256
52167	30703	1	256
52203	10245	1	1024
52239	12594	1	1024
52275	15823	1	1024
52311	14365	1	1024
52347	13833	1	1024
52382	14551	1	1024
52418	12435	1	1024
52454	12011	1	1024
52490	8715	1	1024
52526	17949	1	256
52562	10761	1	64
52598	14322	1	64
52633	28946	1	64
52669	21696	1	64
52705	10634	1	256
52741	20933	1	64
52777	12117	1	256
52813	28174	1	64
52849	9249	1	256
52884	13746	1	256
52920	32421	1	64
52956	22962	1	64
52992	19643	1	64
53028	22446	1	64
53064	17605	1	64
53099	8809	1	64
53135	9870	1	256
53171	10285	1	256
53207	23392	1	64
53243	14722	1	256
53279	30738	1	64
53315	27936	1	64
53350	15646	1	256
53386	26647	1	64
53422	17079	1	256
53458	11810	1	256
53494	9218	1	256
53530	14034	1	64
53565	20667	1	64
53601	8823	1	64
53637	10149	1	16
53673	24137	1	64
53709	8417	1	256
53745	8627	1	256
53781	19808	1	64
53816	20590	1	64
53852	8421	1	64
53888	14624	1	64
53924	13806	1	16
53960	18158	1	64
53996	29147	1	16
54032	25490	1	16
54067	8375	1	64
54103	20261	1	16
54139	16859	1	64
54175	29271	1	64
54211	8430	1	64
54247	10158	1	64
54282	24082	1	16
54318	29038	1	4
54354	3218	1	1
54390	17010	1	64
54426	27575	1	16
54462	0	1	1
54498	9070	1	16
54533	17115	1	4
54569	8997	1	64
54605	27026	1	16
54641	11858	1	256
54677	24430	1	16
54713	16677	1	16
54748	18395	1	16
54784	0	1	1
54820	23557	1	64
54856	14446	1	16
54892	27246	1	16
54928	0	1	1
54964	8430	1	16
54999	8315	1	64
55035	0	1	1
55071	293	1	1
55107	25966	1	16
55143	32014	1	64
55179	29056	1	64
55214	8681	1	256
55250	11607	1	64
55286	30629	1	64
55322	17682	1	64
55358	11035	1	64
55394	17810	1	64
55430	22030	1	64
55465	12087	1	256
55501	15177	1	64
55537	10018	1	256
55573	10514	1	16
55609	2926	1	1
55645	15790	1	64
55681	12384	1	64
55716	14491	1	64
55752	15911	1	256
55788	24850	1	64
55824	10094	1	256
55860	10647	1	256
55896	11281	1	256
55931	32306	1	64
55967	14512	1	256
56003	10650	1	256
56039	30587	1	64
56075	15414	1	256
56111	21059	1	256
56147	19675	1	256
56182	9371	1	1024
56218	12318	1	1024
56254	10244	1	1024
56290	15523	1	1024
56326	13325	1	1024
56362	16378	1	1024
56397	16147	1	1024
56433	18814	1	1024
56469	15507	1	1024
56505	13274	1	1024
56541	14253	1	1024
56577	26954	1	256
56613	23422	1	256
56648	19451	1	256
56684	27326	1	256
56720	9953	1	1024
56756	21040	1	256
56792	10805	1	1024
56828	11128	1	1024
56864	9564	1	1024
56899	28203	1	256
56935	10405	1	1024
56971	9789	1	1024
57007	12018	1	1024
57043	30685	1	256
57079	21847	1	256
57114	11520	1	256
57150	12402	1	256
57186	21877	1	256
57222	15670	1	256
57258	19377	1	256
