<Function 1, scan #0, time 0.0034000000450760126>
00-18-C7-37-88-4E	7E-49-05-EA-38-6E
raw_mcr	raw_count	mcr_multiplier	count_gain
13107200	0	1	1
13263212	0	1	1
13272388	11264	1	16
13281566	9984	1	16
13290742	25874	1	16
13299920	21614	1	16
13309096	21047	1	16
13318274	0	1	1
13327452	15310	1	64
13336628	17664	1	64
13345806	14793	1	256
13354982	30703	1	256
13364160	10245	1	1024
13373336	12594	1	1024
13382514	15823	1	1024
13391690	14365	1	1024
13400868	13833	1	1024
13410044	14551	1	1024
13419222	12435	1	1024
13428400	12011	1	1024
13437576	8715	1	1024
13446754	17949	1	256
13455930	10761	1	64
13465108	14322	1	64
13474284	28946	1	64
13483462	21696	1	64
13492638	10634	1	256
13501816	20933	1	64
13510994	12117	1	256
13520170	28174	1	64
13529348	9249	1	256
13538524	13746	1	256
13547702	32421	1	64
13556878	22962	1	64
13566056	19643	1	64
13575232	22446	1	64
13584410	17605	1	64
13593588	8809	1	64
13602764	9870	1	256
13611942	10285	1	256
13621118	23392	1	64
13630296	14722	1	256
13639472	30738	1	64
13648650	27936	1	64
13657826	15646	1	256
13667004	26647	1	64
13676182	17079	1	256
13685358	11810	1	256
13694536	9218	1	256
13703712	14034	1	64
13712890	20667	1	64
13722066	8823	1	64
13731244	10149	1	16
13740420	24137	1	64
13749598	8417	1	256
13758774	8627	1	256
13767952	19808	1	64
13777130	20590	1	64
13786306	8421	1	64
13795484	14624	1	64
13804660	13806	1	16
13813838	18158	1	64
13823014	29147	1	16
13832192	25490	1	16
13841368	8375	1	64
13850546	20261	1	16
13859724	16859	1	64
13868900	29271	1	64
13878078	8430	1	64
13887254	10158	1	64
13896432	24082	1	16
13905608	29038	1	4
13914786	3218	1	1
13923962	17010	1	64
13933140	27575	1	16
13942318	0	1	1
13951494	9070	1	16
13960672	17115	1	4
13969848	8997	1	64
13979026	27026	1	16
13988202	11858	1	256
13997380	24430	1	16
14006556	16677	1	16
14015734	18395	1	16
14024910	0	1	1
14034088	23557	1	64
14043266	14446	1	16
14052442	27246	1	16
14061620	0	1	1
14070796	8430	1	16
14079974	8315	1	64
14089150	0	1	1
14098328	293	1	1
14107504	25966	1	16
14116682	32014	1	64
14125860	29056	1	64
14135036	8681	1	256
14144214	11607	1	64
14153390	30629	1	64
14162568	17682	1	64
14171744	11035	1	64
14180922	17810	1	64
14190098	22030	1	64
14199276	12087	1	256
14208454	15177	1	64
14217630	10018	1	256
14226808	10514	1	16
14235984	2926	1	1
14245162	15790	1	64
14254338	12384	1	64
14263516	14491	1	64
14272692	15911	1	256
14281870	24850	1	64
14291048	10094	1	256
14300224	10647	1	256
14309402	11281	1	256
14318578	32306	1	64
14327756	14512	1	256
14336932	10650	1	256
14346110	30587	1	64
14355286	15414	1	256
14364464	21059	1	256
14373640	19675	1	256
14382818	9371	1	1024
14391996	12318	1	1024
14401172	10244	1	1024
14410350	15523	1	1024
14419526	13325	1	1024
14428704	16378	1	1024
14437880	16147	1	1024
14447058	18814	1	1024
14456234	15507	1	1024
14465412	13274	1	1024
14474590	14253	1	1024
14483766	26954	1	256
14492944	23422	1	256
14502120	19451	1	256
14511298	27326	1	256
14520474	9953	1	1024
14529652	21040	1	256
14538828	10805	1	1024
14548006	11128	1	1024
14557184	9564	1	1024
14566360	28203	1	256
14575538	10405	1	1024
14584714	9789	1	1024
14593892	12018	1	1024
14603068	30685	1	256
14612246	21847	1	256
14621422	11520	1	256
14630600	12402	1	256
14639778	21877	1	256
14648954	15670	1	256
14658132	19377	1	256
14667308	21558	1	256
14676486	16209	1	256
14685662	16530	1	256
14694840	15942	1	256
14704016	22738	1	64
14713194	8454	1	256
14722370	13582	1	64
14731548	16489	1	64
14740726	18894	1	64
14749902	27648	1	16
14759080	16837	1	64
