Opening function raw/Bode - ycd-pmknitrone-1_20200215.raw/_FUNC001, and idx file size is 19514
{"points_from_IDX"=>3382080}
887
For scan 0 it begins at 0 and spans 2581 6X bytes
00 00 70 00 00 C8	0	51200
00 00 70 6C 61 CA	0	51809
00 2C 72 44 85 CA	11264	51845
00 27 72 1E A9 CA	9984	51881
12 65 72 F6 CC CA	25874	51916
6E 54 72 D0 F0 CA	21614	51952
37 52 72 A8 14 CB	21047	51988
00 00 70 82 38 CB	0	52024
CE 3B 73 5C 5C CB	15310	52060
00 45 73 34 80 CB	17664	52096
C9 39 74 0E A4 CB	14793	52132
EF 77 74 E6 C7 CB	30703	52167
05 28 75 C0 EB CB	10245	52203
32 31 75 98 0F CC	12594	52239
CF 3D 75 72 33 CC	15823	52275
1D 38 75 4A 57 CC	14365	52311
09 36 75 24 7B CC	13833	52347
D7 38 75 FC 9E CC	14551	52382
93 30 75 D6 C2 CC	12435	52418
EB 2E 75 B0 E6 CC	12011	52454
0B 22 75 88 0A CD	8715	52490
1D 46 74 62 2E CD	17949	52526
09 2A 73 3A 52 CD	10761	52562
F2 37 73 14 76 CD	14322	52598
12 71 73 EC 99 CD	28946	52633
C0 54 73 C6 BD CD	21696	52669
8A 29 74 9E E1 CD	10634	52705
C5 51 73 78 05 CE	20933	52741
55 2F 74 52 29 CE	12117	52777
0E 6E 73 2A 4D CE	28174	52813
21 24 74 04 71 CE	9249	52849
B2 35 74 DC 94 CE	13746	52884
A5 7E 73 B6 B8 CE	32421	52920
B2 59 73 8E DC CE	22962	52956
BB 4C 73 68 00 CF	19643	52992
AE 57 73 40 24 CF	22446	53028
C5 44 73 1A 48 CF	17605	53064
69 22 73 F4 6B CF	8809	53099
8E 26 74 CC 8F CF	9870	53135
2D 28 74 A6 B3 CF	10285	53171
60 5B 73 7E D7 CF	23392	53207
82 39 74 58 FB CF	14722	53243
12 78 73 30 1F D0	30738	53279
20 6D 73 0A 43 D0	27936	53315
1E 3D 74 E2 66 D0	15646	53350
17 68 73 BC 8A D0	26647	53386
B7 42 74 96 AE D0	17079	53422
22 2E 74 6E D2 D0	11810	53458
02 24 74 48 F6 D0	9218	53494
D2 36 73 20 1A D1	14034	53530
BB 50 73 FA 3D D1	20667	53565
77 22 73 D2 61 D1	8823	53601
A5 27 72 AC 85 D1	10149	53637
49 5E 73 84 A9 D1	24137	53673
E1 20 74 5E CD D1	8417	53709
B3 21 74 36 F1 D1	8627	53745
60 4D 73 10 15 D2	19808	53781
6E 50 73 EA 38 D2	20590	53816
E5 20 73 C2 5C D2	8421	53852
20 39 73 9C 80 D2	14624	53888
EE 35 72 74 A4 D2	13806	53924
EE 46 73 4E C8 D2	18158	53960
DB 71 72 26 EC D2	29147	53996
92 63 72 00 10 D3	25490	54032
B7 20 73 D8 33 D3	8375	54067
25 4F 72 B2 57 D3	20261	54103
DB 41 73 8C 7B D3	16859	54139
57 72 73 64 9F D3	29271	54175
EE 20 73 3E C3 D3	8430	54211
AE 27 73 16 E7 D3	10158	54247
12 5E 72 F0 0A D4	24082	54282
6E 71 71 C8 2E D4	29038	54318
92 0C 70 A2 52 D4	3218	54354
72 42 73 7A 76 D4	17010	54390
B7 6B 72 54 9A D4	27575	54426
00 00 70 2E BE D4	0	54462
6E 23 72 06 E2 D4	9070	54498
DB 42 71 E0 05 D5	17115	54533
25 23 73 B8 29 D5	8997	54569
92 69 72 92 4D D5	27026	54605
52 2E 74 6A 71 D5	11858	54641
6E 5F 72 44 95 D5	24430	54677
25 41 72 1C B9 D5	16677	54713
DB 47 72 F6 DC D5	18395	54748
00 00 70 CE 00 D6	0	54784
05 5C 73 A8 24 D6	23557	54820
6E 38 72 82 48 D6	14446	54856
6E 6A 72 5A 6C D6	27246	54892
00 00 70 34 90 D6	0	54928
EE 20 72 0C B4 D6	8430	54964
7B 20 73 E6 D7 D6	8315	54999
00 00 70 BE FB D6	0	55035
25 01 70 98 1F D7	293	55071
6E 65 72 70 43 D7	25966	55107
0E 7D 73 4A 67 D7	32014	55143
80 71 73 24 8B D7	29056	55179
E9 21 74 FC AE D7	8681	55214
57 2D 73 D6 D2 D7	11607	55250
A5 77 73 AE F6 D7	30629	55286
12 45 73 88 1A D8	17682	55322
1B 2B 73 60 3E D8	11035	55358
92 45 73 3A 62 D8	17810	55394
0E 56 73 12 86 D8	22030	55430
37 2F 74 EC A9 D8	12087	55465
49 3B 73 C6 CD D8	15177	55501
22 27 74 9E F1 D8	10018	55537
12 29 72 78 15 D9	10514	55573
6E 0B 70 50 39 D9	2926	55609
AE 3D 73 2A 5D D9	15790	55645
60 30 73 02 81 D9	12384	55681
9B 38 73 DC A4 D9	14491	55716
27 3E 74 B4 C8 D9	15911	55752
12 61 73 8E EC D9	24850	55788
6E 27 74 68 10 DA	10094	55824
97 29 74 40 34 DA	10647	55860
11 2C 74 1A 58 DA	11281	55896
32 7E 73 F2 7B DA	32306	55931
B0 38 74 CC 9F DA	14512	55967
9A 29 74 A4 C3 DA	10650	56003
7B 77 73 7E E7 DA	30587	56039
36 3C 74 56 0B DB	15414	56075
43 52 74 30 2F DB	21059	56111
DB 4C 74 08 53 DB	19675	56147
9B 24 75 E2 76 DB	9371	56182
1E 30 75 BC 9A DB	12318	56218
04 28 75 94 BE DB	10244	56254
A3 3C 75 6E E2 DB	15523	56290
0D 34 75 46 06 DC	13325	56326
FA 3F 75 20 2A DC	16378	56362
13 3F 75 F8 4D DC	16147	56397
7E 49 75 D2 71 DC	18814	56433
93 3C 75 AA 95 DC	15507	56469
DA 33 75 84 B9 DC	13274	56505
AD 37 75 5E DD DC	14253	56541
4A 69 74 36 01 DD	26954	56577
7E 5B 74 10 25 DD	23422	56613
FB 4B 74 E8 48 DD	19451	56648
BE 6A 74 C2 6C DD	27326	56684
E1 26 75 9A 90 DD	9953	56720
30 52 74 74 B4 DD	21040	56756
35 2A 75 4C D8 DD	10805	56792
78 2B 75 26 FC DD	11128	56828
5C 25 75 00 20 DE	9564	56864
2B 6E 74 D8 43 DE	28203	56899
A5 28 75 B2 67 DE	10405	56935
3D 26 75 8A 8B DE	9789	56971
F2 2E 75 64 AF DE	12018	57007
DD 77 74 3C D3 DE	30685	57043
57 55 74 16 F7 DE	21847	57079
00 2D 74 EE 1A DF	11520	57114
72 30 74 C8 3E DF	12402	57150
75 55 74 A2 62 DF	21877	57186
36 3D 74 7A 86 DF	15670	57222
B1 4B 74 54 AA DF	19377	57258
36 54 74 2C CE DF	21558	57294
51 3F 74 06 F2 DF	16209	57330
92 40 74 DE 15 E0	16530	57365
46 3E 74 B8 39 E0	15942	57401
D2 58 73 90 5D E0	22738	57437
06 21 74 6A 81 E0	8454	57473
0E 35 73 42 A5 E0	13582	57509
69 40 73 1C C9 E0	16489	57545
CE 49 73 F6 EC E0	18894	57580
00 6C 72 CE 10 E1	27648	57616
C5 41 73 A8 34 E1	16837	57652
57 3E 73 80 58 E1	15959	57688
7B 26 73 5A 7C E1	9851	57724
0E 25 73 32 A0 E1	9486	57760
72 4C 73 0C C4 E1	19570	57796
7B 40 73 E4 E7 E1	16507	57831
25 22 73 BE 0B E2	8741	57867
EE 44 72 98 2F E2	17646	57903
80 53 73 70 53 E2	21376	57939
B2 48 73 4A 77 E2	18610	57975
1B 20 73 22 9B E2	8219	58011
80 33 73 FC BE E2	13184	58046
DB 34 71 D4 E2 E2	13531	58082
92 53 72 AE 06 E3	21394	58118
AE 38 73 86 2A E3	14510	58154
25 7E 73 60 4E E3	32293	58190
00 49 73 3A 72 E3	18688	58226
17 66 73 12 96 E3	26135	58262
C5 79 73 EC B9 E3	31173	58297
17 29 73 C4 DD E3	10519	58333
37 48 73 9E 01 E4	18487	58369
ED 25 74 76 25 E4	9709	58405
3A 38 74 50 49 E4	14394	58441
2D 25 74 28 6D E4	9517	58477
CB 22 74 02 91 E4	8907	58513
65 32 74 DA B4 E4	12901	58548
EA 3A 74 B4 D8 E4	15082	58584
FB 23 74 8E FC E4	9211	58620
58 21 74 66 20 E5	8536	58656
08 33 74 40 44 E5	13064	58692
B7 46 73 18 68 E5	18103	58728
A3 28 74 F2 8B E5	10403	58763
F8 27 74 CA AF E5	10232	58799
B1 35 74 A4 D3 E5	13745	58835
09 47 73 7C F7 E5	18185	58871
60 5E 73 56 1B E6	24160	58907
1B 5B 73 30 3F E6	23323	58943
3B 2B 73 08 63 E6	11067	58979
16 20 74 E2 86 E6	8214	59014
A5 37 73 BA AA E6	14245	59050
A0 25 73 94 CE E6	9632	59086
32 5E 73 6C F2 E6	24114	59122
85 34 73 46 16 E7	13445	59158
00 08 70 1E 3A E7	2048	59194
00 6B 72 F8 5D E7	27392	59229
E9 4D 73 D2 81 E7	19945	59265
E0 33 73 AA A5 E7	13280	59301
DB 26 71 84 C9 E7	9947	59337
8E 28 73 5C ED E7	10382	59373
AE 21 73 36 11 E8	8622	59409
C0 2E 73 0E 35 E8	11968	59445
25 2E 72 E8 58 E8	11813	59480
6E 31 73 C0 7C E8	12654	59516
72 24 73 9A A0 E8	9330	59552
6E 03 70 74 C4 E8	878	59588
00 00 70 4C E8 E8	0	59624
5B 6E 72 26 0C E9	28251	59660
92 04 70 FE 2F E9	1170	59695
6E 03 70 D8 53 E9	878	59731
92 78 71 B0 77 E9	30866	59767
00 00 70 8A 9B E9	0	59803
49 02 70 62 BF E9	585	59839
6E 0B 70 3C E3 E9	2926	59875
25 01 70 14 07 EA	293	59911
37 29 72 EE 2A EA	10551	59946
6E 55 72 C8 4E EA	21870	59982
6E 13 70 A0 72 EA	4974	60018
1B 7E 73 7A 96 EA	32283	60054
6E 03 70 52 BA EA	878	60090
00 00 70 2C DE EA	0	60126
00 00 70 04 02 EB	0	60162
5B 28 72 DE 25 EB	10331	60197
B7 4D 72 B6 49 EB	19895	60233
49 53 72 90 6D EB	21321	60269
5B 52 73 6A 91 EB	21083	60305
A9 28 73 42 B5 EB	10409	60341
C9 37 72 1C D9 EB	14281	60377
BB 27 73 F4 FC EB	10171	60412
40 25 73 CE 20 EC	9536	60448
DB 40 72 A6 44 EC	16603	60484
4E 41 73 80 68 EC	16718	60520
E5 2F 73 58 8C EC	12261	60556
00 00 70 32 B0 EC	0	60592
37 6D 72 0C D4 EC	27959	60628
92 25 73 E4 F7 EC	9618	60663
25 01 70 BE 1B ED	293	60699
C9 30 72 96 3F ED	12489	60735
00 00 70 70 63 ED	0	60771
00 00 70 48 87 ED	0	60807
B7 05 70 22 AB ED	1463	60843
C9 2D 72 FA CE ED	11721	60878
EE 47 72 D4 F2 ED	18414	60914
B7 35 70 AE 16 EE	13751	60950
00 00 70 86 3A EE	0	60986
