			00 00 70 00 00 C8	51200	
100.86	0.00E+00		00 00 70 6C 61 CA	51809	609
100.93	1.80E+05		00 2C 72 44 85 CA	51845	36
101	1.60E+05		00 27 72 1E A9 CA	51881	36
101.07	4.14E+05		12 65 72 F6 CC CA	51916	35
101.14	3.46E+05		6E 54 72 D0 F0 CA	51952	36
101.21	3.37E+05		37 52 72 A8 14 CB	51988	36
101.28	0.00E+00		00 00 70 82 38 CB	52024	36
101.35	9.80E+05		CE 3B 73 5C 5C CB	52060	36
101.42	1.13E+06		00 45 73 34 80 CB	52096	36
101.49	3.79E+06		C9 39 74 0E A4 CB	52132	36
101.56	7.86E+06		EF 77 74 E6 C7 CB	52167	35
101.63	1.05E+07		05 28 75 C0 EB CB	52203	36
101.7	1.29E+07		32 31 75 98 0F CC	52239	36
101.77	1.62E+07		CF 3D 75 72 33 CC	52275	36
101.84	1.47E+07		1D 38 75 4A 57 CC	52311	36
101.91	1.42E+07		09 36 75 24 7B CC	52347	36
101.98	1.49E+07		D7 38 75 FC 9E CC	52382	35
102.05	1.27E+07		93 30 75 D6 C2 CC	52418	36
102.12	1.23E+07		EB 2E 75 B0 E6 CC	52454	36
102.19	8.92E+06		0B 22 75 88 0A CD	52490	36
102.26	4.60E+06		1D 46 74 62 2E CD	52526	36
102.33	6.89E+05		09 2A 73 3A 52 CD	52562	36
102.4	9.17E+05		F2 37 73 14 76 CD	52598	36
102.47	1.85E+06		12 71 73 EC 99 CD	52633	35
102.54	1.39E+06		C0 54 73 C6 BD CD	52669	36
102.61	2.72E+06		8A 29 74 9E E1 CD	52705	36
102.68	1.34E+06		C5 51 73 78 05 CE	52741	36
102.75	3.10E+06		55 2F 74 52 29 CE	52777	36
102.82	1.80E+06		0E 6E 73 2A 4D CE	52813	36
102.89	2.37E+06		21 24 74 04 71 CE	52849	36
102.96	3.52E+06		B2 35 74 DC 94 CE	52884	35
103.03	2.08E+06		A5 7E 73 B6 B8 CE	52920	36
103.1	1.47E+06		B2 59 73 8E DC CE	52956	36
103.17	1.26E+06		BB 4C 73 68 00 CF	52992	36
103.24	1.44E+06		AE 57 73 40 24 CF	53028	36
103.31	1.13E+06		C5 44 73 1A 48 CF	53064	36
103.38	5.64E+05		69 22 73 F4 6B CF	53099	35
103.45	2.53E+06		8E 26 74 CC 8F CF	53135	36
103.52	2.63E+06		2D 28 74 A6 B3 CF	53171	36
103.59	1.50E+06		60 5B 73 7E D7 CF	53207	36
103.66	3.77E+06		82 39 74 58 FB CF	53243	36
103.73	1.97E+06		12 78 73 30 1F D0	53279	36
103.8	1.79E+06		20 6D 73 0A 43 D0	53315	36
103.87	4.01E+06		1E 3D 74 E2 66 D0	53350	35
103.94	1.71E+06		17 68 73 BC 8A D0	53386	36
104.01	4.37E+06		B7 42 74 96 AE D0	53422	36
104.08	3.02E+06		22 2E 74 6E D2 D0	53458	36
104.15	2.36E+06		02 24 74 48 F6 D0	53494	36
104.22	8.98E+05		D2 36 73 20 1A D1	53530	36
104.29	1.32E+06		BB 50 73 FA 3D D1	53565	35
104.36	5.65E+05		77 22 73 D2 61 D1	53601	36
104.43	1.62E+05		A5 27 72 AC 85 D1	53637	36
104.5	1.55E+06		49 5E 73 84 A9 D1	53673	36
104.57	2.16E+06		E1 20 74 5E CD D1	53709	36
104.64	2.21E+06		B3 21 74 36 F1 D1	53745	36
104.71	1.27E+06		60 4D 73 10 15 D2	53781	36
104.78	1.32E+06		6E 50 73 EA 38 D2	53816	35
104.85	5.39E+05		E5 20 73 C2 5C D2	53852	36
104.92	9.36E+05		20 39 73 9C 80 D2	53888	36
104.99	2.21E+05		EE 35 72 74 A4 D2	53924	36
105.07	1.16E+06		EE 46 73 4E C8 D2	53960	36
105.14	4.66E+05		DB 71 72 26 EC D2	53996	36
105.21	4.08E+05		92 63 72 00 10 D3	54032	36
105.28	5.36E+05		B7 20 73 D8 33 D3	54067	35
105.35	3.24E+05		25 4F 72 B2 57 D3	54103	36
105.42	1.08E+06		DB 41 73 8C 7B D3	54139	36
105.49	1.87E+06		57 72 73 64 9F D3	54175	36
105.56	5.40E+05		EE 20 73 3E C3 D3	54211	36
105.63	6.50E+05		AE 27 73 16 E7 D3	54247	36
