<Function 1, scan #1, time 0.010716666467487812>
00-18-61-86-74-4F	3D-7C-05-24-03-6E
raw_mcr	raw_count	mcr_multiplier	count_gain
13107200	12766	1	256
13116378	11654	1	256
13125554	17656	1	256
13134732	17624	1	256
13143908	13942	1	256
13153086	14353	1	256
13162264	14867	1	256
13171440	29166	1	64
13180618	28142	1	64
13189794	18400	1	64
13198972	11976	1	256
13208148	16619	1	256
13217326	26157	1	256
13226502	31046	1	256
13235680	32145	1	256
13244858	28262	1	256
13254034	32051	1	256
13263212	10985	1	1024
13272388	11077	1	1024
13281566	9280	1	1024
13290742	8518	1	1024
13299920	20328	1	256
13309096	19895	1	256
13318274	32357	1	64
13327452	12910	1	256
13336628	9893	1	256
13345806	21609	1	64
13354982	16409	1	256
13364160	9790	1	256
13373336	16927	1	256
13382514	18007	1	256
13391690	12551	1	256
13400868	14968	1	256
13410044	16570	1	256
13419222	28151	1	64
13428400	9434	1	256
13437576	10958	1	256
13446754	19191	1	64
13455930	22331	1	64
13465108	10407	1	256
13474284	16278	1	256
13483462	18337	1	256
13492638	31897	1	256
13501816	18638	1	256
13510994	21313	1	256
13520170	28969	1	256
13529348	17411	1	256
13538524	17201	1	256
13547702	14549	1	256
13556878	14710	1	256
13566056	12651	1	256
13575232	32142	1	64
13584410	17294	1	64
13593588	17925	1	64
13602764	10921	1	64
13611942	13056	1	64
13621118	11961	1	256
13630296	13614	1	64
13639472	8261	1	256
13648650	23918	1	64
13657826	30930	1	64
13667004	13440	1	64
13676182	11771	1	64
13685358	26871	1	64
13694536	18053	1	64
13703712	21065	1	16
13712890	19017	1	4
13722066	22258	1	64
13731244	24229	1	64
13740420	30674	1	64
13749598	19904	1	64
13758774	11122	1	64
13767952	29815	1	64
13777130	27685	1	64
13786306	17637	1	64
13795484	15557	1	64
13804660	31598	1	64
13813838	20635	1	64
13823014	24832	1	64
13832192	23767	1	64
13841368	14153	1	16
13850546	26551	1	16
13859724	15145	1	64
13868900	11118	1	4
13878078	15447	1	64
13887254	8457	1	64
13896432	9705	1	64
13905608	14958	1	64
13914786	13993	1	64
13923962	28782	1	16
13933140	20690	1	64
13942318	18432	1	1
13951494	17225	1	64
13960672	20110	1	64
13969848	9221	1	64
13979026	23735	1	16
13988202	27675	1	64
13997380	26793	1	64
14006556	17358	1	64
14015734	15592	1	256
14024910	13834	1	256
14034088	8753	1	256
14043266	10336	1	256
14052442	23072	1	64
14061620	9677	1	256
14070796	11192	1	256
14079974	12137	1	64
14089150	31689	1	16
14098328	31835	1	16
14107504	17765	1	64
14116682	22240	1	64
14125860	27401	1	64
14135036	19561	1	64
14144214	13536	1	256
14153390	11702	1	256
14162568	26738	1	64
14171744	8838	1	256
14180922	11168	1	256
14190098	12983	1	256
14199276	26999	1	64
14208454	18999	1	64
14217630	21266	1	16
14226808	29481	1	64
