<Function 1, scan #0, time 0.0033833333291113377>
00-18-62-8E-34-4C	57-63-03-FA-CC-CE
raw_mcr	raw_count	mcr_multiplier	count_gain
13107200	0	2	1
13206826	0	2	1
13212068	1522	2	1
13217312	0	2	1
13364128	0	2	1
13369370	27772	2	4
13374614	14143	2	64
13379858	0	2	1
13385100	0	2	1
13390344	1522	2	1
13395588	22013	2	16
13400832	5106	2	1
13406074	0	2	1
13411318	14334	2	16
13416562	9337	2	4
13421804	14712	2	64
13427048	9767	2	64
13432292	0	2	1
13437534	0	2	1
13442778	28412	2	16
13448022	498	2	1
13453266	0	2	1
13458508	11967	2	64
13463752	9309	2	16
13468996	18937	2	4
13474238	24317	2	16
13479482	18930	2	1
13484726	0	2	1
13500456	0	2	1
13505700	9335	2	64
13510942	8953	2	4
13516186	0	2	1
13521430	498	2	1
13526672	0	2	1
13531916	498	2	1
13537160	0	2	1
13547646	0	2	1
13552890	25431	2	64
13558134	18421	2	4
13563376	20956	2	16
13568620	1010	2	1
13573864	0	2	1
13579106	9188	2	1
13584350	0	2	1
13605324	0	2	1
13610568	3058	2	1
13615810	0	2	1
13741652	0	2	1
13746896	22173	2	16
13752140	1010	2	1
13757382	0	2	1
13883224	0	2	1
13888468	498	2	1
13893712	0	2	1
13925172	0	2	1
13930414	16952	2	64
13935658	13596	2	16
13940902	12530	2	4
13946146	0	2	1
13951388	0	2	1
13956632	2546	2	1
13961876	0	2	1
14113934	0	2	1
14119178	18687	2	16
14124420	17725	2	16
14129664	498	2	1
14134908	0	2	1
14140152	498	2	1
14145394	0	2	1
14208316	0	2	1
14213558	1010	2	1
14218802	8496	2	64
14224046	28021	2	4
14229290	1522	2	1
14234532	0	2	1
14239776	1522	2	1
14245020	0	2	1
14250262	2546	2	1
14255506	0	2	1
14318426	0	2	1
14323670	22844	2	16
14328914	0	2	1
14402322	0	2	1
14407564	2034	2	1
14412808	0	2	1
14591084	0	2	1
14596328	24669	2	16
14601570	9714	2	1
14606814	0	2	1
14612058	22428	2	16
14617300	0	2	1
14638274	0	2	1
14643518	498	2	1
14648762	0	2	1
14654004	0	2	1
14659248	2546	2	1
14664492	0	2	1
14680222	0	2	1
14685466	4082	2	1
14690708	0	2	1
14695952	1010	2	1
14701196	0	2	1
14711682	0	2	1
14716926	498	2	1
14722170	0	2	1
14727412	3556	2	1
14732656	0	2	1
14947636	0	2	1
14952878	28350	2	16
14958122	11513	2	4
14963366	0	2	1
15042016	0	2	1
15047260	3058	2	1
15052504	28860	2	16
15057746	12221	2	16
15062990	0	2	1
15094450	0	2	1
15099694	2034	2	1
15104938	0	2	1
15110180	0	2	1
15115424	996	2	1
15120668	0	2	1
15167858	0	2	1
15173102	8327	2	64
15178346	20509	2	16
15183588	498	2	1
15188832	0	2	1
15277970	0	2	1
15283214	12927	2	16
15288456	19773	2	16
15293700	0	2	1
15309430	0	2	1
15314674	1010	2	1
15319918	0	2	1
15330404	0	2	1
15335648	498	2	1
15340890	0	2	1
15351378	0	2	1
15356620	8263	2	64
15361864	0	2	1
15367108	2546	2	1
15372352	0	2	1
15571600	0	2	1
15576844	30652	2	16
15582088	6130	2	1
15587330	0	2	1
15624034	0	2	1
15629278	31484	2	16
15634522	0	2	1
15639764	16733	2	16
15645008	11250	2	1
15650252	0	2	1
15723660	0	2	1
15728902	498	2	1
15734146	0	2	1
15797066	0	2	1
15802310	1522	2	1
15807554	0	2	1
15896692	0	2	1
15901936	12413	2	16
15907178	0	2	1
15922908	0	2	1
15928152	1010	2	1
15933396	0	2	1
16190322	0	2	1
16195566	498	2	1
16200810	0	2	1
16206052	1522	2	1
16211296	0	2	1
16216540	0	2	1
16221782	1010	2	1
16227026	0	2	1
16253244	0	2	1
16258486	1522	2	1
16263730	0	2	1
16274216	0	2	1
16279460	24414	2	16
16284704	10233	2	4
16289946	498	2	1
16295190	7652	2	1
16300434	1010	2	1
16305678	0	2	1
16310920	9832	2	64
16316164	27257	2	4
16321408	0	2	1
16326650	9975	2	64
