<Function 1, scan #1, time 0.010716666467487812>
00-18-B4-C1-00-4C	E7-4A-23-12-C1-BF
raw_mcr	raw_count	mcr_multiplier	count_gain
13107200	0	2	1
13112444	2020	2	1
13117688	1508	2	1
13122930	1010	2	1
13128174	498	2	1
13133418	1010	2	1
13138660	2532	2	1
13143904	17650	2	4
13149148	27260	2	16
13154392	3556	2	1
13159634	498	2	1
13164878	1522	2	1
13170122	2546	2	1
13175364	0	2	1
13180608	498	2	1
13185852	0	2	1
13191094	15804	2	16
13196338	0	2	1
13201582	6613	2	1
13206826	1522	2	1
13212068	1010	2	1
13217312	1508	2	1
13222556	0	2	1
13227798	2546	2	1
13233042	0	2	1
13238286	2020	2	1
13243530	13918	2	16
13248772	13340	2	16
13254016	0	2	1
13259260	0	2	1
13264502	498	2	1
13269746	0	2	1
13274990	498	2	1
13280232	30238	2	16
13285476	12409	2	4
13290720	0	2	1
13295964	2546	2	1
13301206	0	2	1
13306450	0	2	1
13311694	2517	2	1
13316936	14791	2	1
13322180	7637	2	1
13327424	0	2	1
13332666	0	2	1
13337910	4580	2	1
13343154	498	2	1
13348398	5589	2	1
13353640	6613	2	1
13358884	0	2	1
13364128	0	2	1
13369370	7637	2	1
13374614	10709	2	1
13379858	0	2	1
13385100	6613	2	1
13390344	0	2	1
13411318	0	2	1
13416562	1522	2	1
13421804	0	2	1
13432292	0	2	1
13437534	498	2	1
13442778	0	2	1
13448022	1010	2	1
13453266	5106	2	1
13458508	2532	2	1
13463752	498	2	1
13468996	0	2	1
13474238	1522	2	1
13479482	3044	2	1
13484726	1522	2	1
13489970	0	2	1
13495212	1522	2	1
13500456	0	2	1
13505700	1010	2	1
13510942	0	2	1
13516186	13820	2	4
13521430	13245	2	16
13526672	14308	2	1
13531916	3570	2	1
13537160	3541	2	1
13542404	21405	2	16
13547646	28132	2	1
13552890	1010	2	1
13558134	8135	2	1
13563376	2034	2	1
13568620	10212	2	1
13573864	0	2	1
13579106	1522	2	1
13584350	0	2	1
13589594	2532	2	1
13594838	8149	2	1
13600080	9173	2	1
13605324	0	2	1
13610568	15332	2	1
13615810	17191	2	64
13621054	1010	2	1
13626298	0	2	1
13631540	1010	2	1
13636784	10724	2	1
